,rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,message_id,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
9468,9468,1716537337.97,0.0,6176.337733715138,0.0,07.55.36,43.7706598,-0.040532,7.6,22.1,15.6318,5.4531,0.0,,,,,25264.986,0.0,16308.0,2265.0,510_202405_24_0739_54_0009433,,,4,1,0
9469,9469,1716537338.07,0.0999999046325683,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.6408,5.3541,0.0090000000000003,,,,,25264.986,0.0,16308.0,2265.0,510_202405_24_0739_54_0009434,,,4,1,0
9470,9470,1716537338.17,0.2000000476837158,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.6495,5.2551,0.0176999999999996,,,,,25272.657,7.6709999999984575,16301.0,2360.0,510_202405_24_0739_54_0009435,,,4,1,0
9471,9471,1716537338.27,0.2999999523162842,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.6586,5.4531,0.0267999999999997,,,,,25272.657,7.6709999999984575,16301.0,2360.0,510_202405_24_0739_54_0009436,,,4,1,0
9472,9472,1716537338.37,0.3999998569488525,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.6665,4.759,0.034699999999999,,,,,25279.458,14.471999999997934,16317.0,2091.0,510_202405_24_0739_54_0009437,,,4,1,0
9473,9473,1716537338.47,0.5,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.6758,5.5521,0.0440000000000004,,,,,25279.458,14.471999999997934,16317.0,2091.0,510_202405_24_0739_54_0009438,,,4,1,0
9474,9474,1716537338.57,0.5999999046325684,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.6849,5.4537,0.0531000000000005,,,,,25286.882,21.89600000000064,16307.0,2288.0,510_202405_24_0739_54_0009439,,,4,1,0
9475,9475,1716537338.67,0.7000000476837158,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.6941,5.5521,0.0623000000000004,,,,,25286.882,21.89600000000064,16307.0,2288.0,510_202405_24_0739_54_0009440,,,4,1,0
9476,9476,1716537338.77,0.7999999523162842,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.7039,5.8496,0.0721000000000007,,,,,25294.627,29.64099999999962,16302.0,2380.0,510_202405_24_0739_54_0009441,,,4,1,0
9477,9477,1716537338.87,0.8999998569488525,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.713,5.4531,0.081199999999999,,,,,25294.627,29.64099999999962,16302.0,2380.0,510_202405_24_0739_54_0009442,,,4,1,0
9478,9478,1716537338.97,1.0,6179.175947227228,2.8382135120900784,07.55.37,43.770681817,-0.040549883,10.6,22.1,15.7219,5.3541,0.0900999999999996,,,,,25301.378,36.39199999999983,16317.0,2072.0,510_202405_24_0739_54_0009443,,,4,1,0
9479,9479,1716537339.07,1.0999999046325684,6182.792332322857,6.454598607719163,07.55.38,43.770709383,-0.040573783,12.9,22.1,15.7316,5.8496,0.0998000000000001,,,,,25301.378,36.39199999999983,16317.0,2072.0,510_202405_24_0739_54_0009444,,,4,1,0
9480,9480,1716537339.17,1.2000000476837158,6182.792332322857,6.454598607719163,07.55.38,43.770709383,-0.040573783,12.9,22.1,15.7407,5.4531,0.1089000000000002,,,,,25308.335,43.34899999999834,16315.0,2135.0,510_202405_24_0739_54_0009445,,,4,1,0
9481,9481,1716537339.27,1.2999999523162842,6182.792332322857,6.454598607719163,07.55.38,43.770709383,-0.040573783,12.9,22.1,15.7508,6.0482,0.1189999999999997,,,,,25308.335,43.34899999999834,16315.0,2135.0,510_202405_24_0739_54_0009446,,,4,1,0
9482,9482,1716537339.37,1.3999998569488523,6182.792332322857,6.454598607719163,07.55.38,43.770709383,-0.040573783,12.9,22.1,15.7602,5.6517,0.1283999999999991,,,,,25316.288,51.30199999999968,16303.0,2445.0,510_202405_24_0739_54_0009447,,,4,1,0
9483,9483,1716537339.47,1.5,6182.792332322857,6.454598607719163,07.55.38,43.770709383,-0.040573783,12.9,22.1,15.7698,5.6937,0.1379999999999999,,,,,25316.288,51.30199999999968,16303.0,2445.0,510_202405_24_0739_54_0009448,,,4,1,0
9484,9484,1716537339.57,1.5999999046325684,6182.792332322857,6.454598607719163,07.55.38,43.770709383,-0.040573783,12.9,22.1,15.7787,5.4082,0.1469000000000004,,,,,25323.348,58.36200000000099,16313.0,2179.0,510_202405_24_0739_54_0009449,,,4,1,0
