cumulative_distance_interp,x_interp,y_interp,radius_of_curvature_polyfit_interp
0.0,-3256.1273774883566,4867077.952215139,181.1774425388677
1.0,-3256.639649215511,4867078.811038769,192.31865441591225
2.0,-3257.1577171767194,4867079.666383331,205.19574675042907
3.0,-3257.68056467491,4867080.518837352,219.51812547768338
4.0,-3258.20717501301,4867081.368989366,235.0746029203688
5.0,-3258.7365314939457,4867082.217427894,251.7762178659778
6.0,-3259.267617420645,4867083.064741468,269.6691181016304
7.0,-3259.7994160960343,4867083.911518613,288.82718489412656
8.0,-3260.330967225895,4867084.758333631,309.31120707852983
9.0,-3260.861843264545,4867085.60562641,331.15780998300653
10.0,-3261.391909779107,4867086.453762892,354.3687549528613
11.0,-3261.9227563565764,4867087.301815544,378.89970928456074
12.0,-3262.4629852304633,4867088.143589301,404.64916827200824
13.0,-3263.022984194477,4867088.971547872,431.473540845855
14.0,-3263.6091180815088,4867089.781049629,459.2358458031111
15.0,-3264.2138126574746,4867090.577482609,487.8200552708547
16.0,-3264.826476765351,4867091.368405635,517.1399976572156
17.0,-3265.4365208760087,4867092.161376356,547.1472110974438
18.0,-3266.036528423932,4867092.961666595,577.8370305861699
19.0,-3266.6288786794726,4867093.767491187,609.194325886508
20.0,-3267.2178354006414,4867094.575707361,641.0918173466634
21.0,-3267.8076623454517,4867095.383172357,673.2679087731307
22.0,-3268.4026232719148,4867096.186743406,705.3170391097701
23.0,-3269.0069610326786,4867096.983293249,736.6920428942348
24.0,-3269.6214976446977,4867097.772232173,766.8054637932001
25.0,-3270.2398680494684,4867098.558301768,795.1401785189069
26.0,-3270.8548001942772,4867099.346916424,821.2778408954958
27.0,-3271.459024513336,4867100.1434886865,844.916004109854
28.0,-3272.048274428105,4867100.951199775,865.8726181540561
29.0,-3272.6271150786474,4867101.766668634,884.0527982660981
30.0,-3273.201727022285,4867102.585313902,899.4255311384943
31.0,-3273.7782866343136,4867103.402557306,1007.8843669866403
32.0,-3274.3609375211868,4867104.215324833,1127.403708151071
33.0,-3274.948525990196,4867105.024462473,1256.428231773643
34.0,-3275.53904636269,4867105.831446692,1391.2665790594415
35.0,-3276.130492960019,4867106.637753954,1525.3102910001971
36.0,-3276.721252575874,4867107.444571725,1648.5876705719018
37.0,-3277.3112765463247,4867108.251935419,1748.1997954195087
38.0,-3277.9009060108347,4867109.05959342,1810.2401307559664
39.0,-3278.4904821088676,4867109.8672941085,1823.2310290440728
40.0,-3279.0803459798885,4867110.674785868,1782.2456892999978
41.0,-3279.670838763359,4867111.48181708,1690.9666128883175
42.0,-3280.262299950587,4867112.28813734,1561.6793707268191
43.0,-3280.8548846178805,4867113.093632184,1415.3262954813188
44.0,-3281.448397483243,4867113.898445405,1273.7361139738698
45.0,-3282.042604078794,4867114.702749677,1152.0783168243343
46.0,-3282.6372699366534,4867115.506717679,1054.1182953062973
47.0,-3283.232160588944,4867116.310522085,977.2059674940818
48.0,-3283.827046299372,4867117.114332049,915.9763104863343
49.0,-3284.421999266101,4867117.918091651,864.6355551705925
50.0,-3285.0175703639916,4867118.721388165,819.5907277077991
51.0,-3285.6143529182386,4867119.5237772195,779.0876102514297
52.0,-3286.2129402540345,4867120.324814443,742.6537328416659
53.0,-3286.8139066224294,4867121.124069534,710.7847366633094
54.0,-3287.417437119763,4867121.92139917,684.7647246114041
55.0,-3288.0233533742094,4867122.716928071,665.9927194066319
56.0,-3288.631463084618,4867123.510791233,654.8237420821187
57.0,-3289.2415739498374,4867124.303123649,650.6034037887101
58.0,-3289.8535059837277,4867125.0940510975,651.6116179657403
59.0,-3290.467208938258,4867125.883602276,655.3138035309461
60.0,-3291.0827103048614,4867126.671747712,659.6727792027511
61.0,-3291.7000386272853,4867127.458457146,663.4624843615089
62.0,-3292.3192224492796,4867128.243700317,666.5055120498151
63.0,-3292.9402903145906,4867129.027446962,669.5342221185471
64.0,-3293.5632603193794,4867129.809675511,673.2777581405904
65.0,-3294.18803348931,4867130.590461715,678.2617179852546
66.0,-3294.814437351023,4867131.369942436,684.7467050807653
67.0,-3295.4422982942483,4867132.148255476,692.6855396098673
68.0,-3296.0714427087128,4867132.9255386405,701.9534077960366
69.0,-3296.7016969841434,4867133.701929735,712.4182878860513
70.0,-3297.332887510269,4867134.477566563,723.9436876303639
71.0,-3297.964840676816,4867135.252586927,736.393299757535
72.0,-3298.5973828735146,4867136.027128636,749.6380563405346
73.0,-3299.2303404900904,4867136.801329491,763.5655569098637
74.0,-3299.863539916272,4867137.575327298,778.045975005255
75.0,-3300.496817922625,4867138.349251805,792.8627326035825
76.0,-3301.130113350624,4867139.123153567,807.7163850152275
77.0,-3301.7634230161175,4867139.897038159,822.2114933970311
78.0,-3302.3967444018226,4867140.670910632,835.8430934514861
79.0,-3303.0300749904522,4867141.444776041,847.9892099635503
80.0,-3303.663412264719,4867142.218639442,857.9995625914615
81.0,-3304.296753707341,4867142.992505889,865.3502372152562
82.0,-3304.9300968010293,4867143.766380435,869.6850718861067
83.0,-3305.563468609635,4867144.540242838,870.8593284233008
84.0,-3306.1971092536373,4867145.31389064,868.9655281818752
85.0,-3306.831352210644,4867146.087041542,864.2314294990114
86.0,-3307.4665313547507,4867146.859412909,856.9121896950794
87.0,-3308.102980560052,4867147.630722102,847.3072352965089
88.0,-3308.741033700643,4867148.400686482,835.7538445325705
89.0,-3309.3810246506205,4867149.169023412,822.6064049558166
90.0,-3310.0232872840784,4867149.935450258,808.2485330252789
91.0,-3310.6681166870885,4867150.699717066,793.0919694242864
92.0,-3311.315312004528,4867151.461991851,777.5404825035347
93.0,-3311.9643296519585,4867152.222731465,761.9583206790377
94.0,-3312.6146192169485,4867152.982398508,746.6717548296696
95.0,-3313.2656302870687,4867153.741455591,731.9725975464263
96.0,-3313.916855599116,4867154.50032875,718.0998419796239
97.0,-3314.5682319562325,4867155.259067705,705.2334051068202
98.0,-3315.2199575058594,4867156.017500704,693.5034821362306
99.0,-3315.872233748899,4867156.775453151,683.001401192982
100.0,-3316.525262186255,4867157.532750452,673.8010262849276
101.0,-3317.1792443188306,4867158.289218011,665.965589733911
102.0,-3317.834381647527,4867159.044681234,659.5474899022915
103.0,-3318.4908756732484,4867159.798965525,654.5877746721746
104.0,-3319.148925977384,4867160.55189792,651.1150652421034
105.0,-3319.808619858445,4867161.303400824,649.1436605209275
106.0,-3320.4698722170365,4867162.053543079,648.6724372997755
107.0,-3321.132583313928,4867162.802405955,649.6945003099793
108.0,-3321.7966534098923,4867163.550070728,652.170433003947
109.0,-3322.4619827657025,4867164.296618673,656.0112712311635
110.0,-3323.128472761501,4867165.042130086,661.0733534471451
111.0,-3323.796093185289,4867165.7866255995,667.1502195918931
112.0,-3324.464920579791,4867166.530032735,673.965564058781
113.0,-3325.1350407559075,4867167.272270933,681.227897526563
114.0,-3325.806539524536,4867168.013259632,688.6927890699629
115.0,-3326.479502696574,4867168.752918268,696.2105171208324
116.0,-3327.153991220524,4867169.491188926,703.7562794438435
117.0,-3327.829888171014,4867170.2281756895,711.4433959985606
118.0,-3328.506999141245,4867170.964053214,719.4661400864052
119.0,-3329.1851294044973,4867171.698996442,728.0058348302641
120.0,-3329.8640842340483,4867172.43318032,737.2354318027923
121.0,-3330.5436716354693,4867173.166777305,747.3354373976746
122.0,-3331.223810839286,4867173.899858504,758.5084545272298
123.0,-3331.9045685266424,4867174.632360678,770.9638437617435
124.0,-3332.5860215371104,4867175.364211335,784.9050927738152
125.0,-3333.2682467102604,4867176.095337974,800.5122482625853
126.0,-3333.9513208856656,4867176.825668104,817.9180800485301
127.0,-3334.6353209028975,4867177.555129225,837.1893633745402
128.0,-3335.3203236015274,4867178.283648843,858.4285154306878
129.0,-3336.0063850151273,4867179.01117394,881.858556214076
